performance_score,avg_training_score,training_efficiency,score_per_age,previous_year_rating,award_score,recruitment_channel_sourcing,gender_m,awards_won?,department_Sales & Marketing,joining_age,length_of_service,training_frequency,region_region_2,education_Master's & above,no_of_trainings,department_Operations,age,experience_ratio,department_Procurement,is_promoted
195.0,65,65.0,1.625,3.0,0,1,1,0,0,28,12,0.077,0,0,1,0,40,0.3,1,0
50.0,50,50.0,1.667,1.0,0,0,1,0,0,24,6,0.143,0,0,1,0,30,0.2,0,0
186.0,62,62.0,1.59,3.0,0,0,1,0,0,34,5,0.167,0,0,1,1,39,0.128,0,0
170.0,85,42.5,3.269,2.0,0,0,1,0,0,24,2,0.667,0,0,2,0,26,0.077,0,0
147.0,49,49.0,1.69,3.0,0,0,0,0,1,28,1,0.5,0,0,1,0,29,0.034,0,0
252.0,84,84.0,2.1,3.0,0,1,1,0,0,35,5,0.167,0,1,1,0,40,0.125,0,0
141.0,47,23.5,1.741,3.0,0,0,1,0,1,26,1,1.0,0,0,2,0,27,0.037,0,0
208.0,52,52.0,1.3,4.0,0,0,1,0,1,33,7,0.125,0,0,1,0,40,0.175,0,0
188.0,47,47.0,0.94,4.0,0,0,1,0,1,33,17,0.056,0,1,1,0,50,0.34,0,1
159.0,53,53.0,2.12,3.0,0,1,1,0,1,22,3,0.25,0,0,1,0,25,0.12,0,0
240.0,80,80.0,2.857,3.0,0,0,0,0,0,27,1,0.5,0,0,1,0,28,0.036,0,0
208.0,52,52.0,1.486,4.0,0,1,1,0,1,33,2,0.333,0,1,1,0,35,0.057,0,0
435.0,87,87.0,2.559,5.0,0,0,1,0,0,29,5,0.167,0,0,1,0,34,0.147,0,0
174.0,58,58.0,1.871,3.0,0,1,0,0,0,28,3,0.25,0,1,1,1,31,0.097,0,0
174.0,58,58.0,2.148,3.0,58,0,1,1,0,26,1,0.5,0,0,1,0,27,0.037,0,1
183.0,61,61.0,2.259,3.0,0,1,1,0,1,26,1,0.5,0,0,1,0,27,0.037,0,1
300.0,75,75.0,2.5,4.0,0,0,1,0,0,24,6,0.143,0,0,1,0,30,0.2,1,0
252.0,84,84.0,2.8,3.0,0,0,1,0,0,23,7,0.125,0,0,1,0,30,0.233,0,1
295.0,59,59.0,1.18,5.0,0,0,0,0,0,45,5,0.167,0,0,1,1,50,0.1,0,0
390.0,78,78.0,2.294,5.0,0,0,1,0,0,27,7,0.125,0,1,1,0,34,0.206,0,1
52.0,52,52.0,1.268,1.0,0,1,0,0,1,29,12,0.077,1,1,1,0,41,0.293,0,0
176.0,44,44.0,1.375,4.0,0,1,1,0,1,26,6,0.143,0,0,1,0,32,0.188,0,0
156.0,52,52.0,1.04,3.0,0,0,1,0,1,36,14,0.067,0,0,1,0,50,0.28,0,0
196.0,49,49.0,1.289,4.0,0,1,1,0,1,36,2,0.333,1,1,1,0,38,0.053,0,1
51.0,51,25.5,1.759,1.0,0,1,1,0,1,24,5,0.333,0,0,2,0,29,0.172,0,0
212.0,53,53.0,1.514,4.0,0,1,1,0,1,32,3,0.25,0,0,1,0,35,0.086,0,0
273.0,91,91.0,3.64,3.0,0,0,1,0,0,23,2,0.333,1,0,1,0,25,0.08,0,0
174.0,58,58.0,1.933,3.0,0,1,1,0,1,27,3,0.25,0,0,1,0,30,0.1,0,1
237.0,79,79.0,1.681,3.0,0,0,1,0,0,40,7,0.125,1,0,1,0,47,0.149,0,0
106.0,53,53.0,1.514,2.0,0,1,1,0,0,28,7,0.125,0,1,1,1,35,0.2,0,0
159.0,53,26.5,2.12,3.0,0,1,1,0,1,23,2,0.667,1,0,2,0,25,0.08,0,0
328.0,82,82.0,2.278,4.0,0,0,1,0,0,28,8,0.111,0,0,1,0,36,0.222,0,0
195.0,65,65.0,2.241,3.0,0,0,1,0,0,28,1,0.5,0,0,1,0,29,0.034,0,1
300.0,60,60.0,1.429,5.0,0,1,0,0,0,31,11,0.083,0,1,1,1,42,0.262,0,1
104.0,52,52.0,1.857,2.0,0,1,0,0,0,22,6,0.143,0,0,1,0,28,0.214,0,0
49.0,49,49.0,1.256,1.0,0,1,1,0,1,30,9,0.1,1,0,1,0,39,0.231,0,0
345.0,69,69.0,2.156,5.0,0,1,1,0,0,29,3,0.25,0,1,1,0,32,0.094,1,1
153.0,51,51.0,1.645,3.0,0,0,0,0,1,30,1,0.5,0,0,1,0,31,0.032,0,0
165.0,55,55.0,2.75,3.0,0,1,0,0,1,19,1,0.5,1,0,1,0,20,0.05,0,0
255.0,85,85.0,2.5,3.0,0,0,1,0,0,26,8,0.111,0,0,1,0,34,0.235,0,0
296.0,74,37.0,1.609,4.0,0,1,1,0,0,43,3,0.5,1,1,2,0,46,0.065,1,0
132.0,44,44.0,0.936,3.0,0,0,1,0,0,40,7,0.125,1,1,1,0,47,0.149,0,0
212.0,53,53.0,1.205,4.0,0,0,0,0,0,31,13,0.071,1,0,1,1,44,0.295,0,0
344.0,86,86.0,2.774,4.0,0,1,1,0,0,27,4,0.2,0,0,1,0,31,0.129,0,0
231.0,77,77.0,3.348,3.0,0,1,0,0,0,22,1,0.5,0,0,1,0,23,0.043,0,0
171.0,57,57.0,1.727,3.0,0,1,0,0,0,28,5,0.167,1,0,1,1,33,0.152,0,0
156.0,52,52.0,1.268,3.0,0,0,1,0,1,29,12,0.077,0,0,1,0,41,0.293,0,0
295.0,59,59.0,0.983,5.0,0,0,1,0,0,43,17,0.056,1,1,1,0,60,0.283,0,0
315.0,63,63.0,2.032,5.0,0,0,1,0,0,27,4,0.2,0,0,1,1,31,0.129,0,1
171.0,57,57.0,1.541,3.0,0,0,0,0,0,26,11,0.083,0,0,1,1,37,0.297,0,0
249.0,83,41.5,2.128,3.0,0,1,1,0,0,35,4,0.4,0,0,2,0,39,0.103,0,0
270.0,54,54.0,1.35,5.0,0,0,1,0,1,32,8,0.111,0,0,1,0,40,0.2,0,0
250.0,50,50.0,1.19,5.0,0,1,1,0,1,38,4,0.2,0,1,1,0,42,0.095,0,0
228.0,57,57.0,1.629,4.0,0,0,1,0,0,29,6,0.143,0,0,1,1,35,0.171,0,1
248.0,62,62.0,1.512,4.0,0,1,0,0,0,35,6,0.143,0,1,1,1,41,0.146,0,0
219.0,73,73.0,3.174,3.0,0,0,0,0,0,21,2,0.333,1,0,1,0,23,0.087,1,0
150.0,50,25.0,1.613,3.0,0,1,1,0,1,27,4,0.4,0,0,2,0,31,0.129,0,0
158.0,79,79.0,1.881,2.0,0,0,1,0,0,23,19,0.05,0,1,1,0,42,0.452,0,0
196.0,49,16.333,1.69,4.0,0,0,1,0,1,27,2,1.0,0,0,3,0,29,0.069,0,0
162.0,54,54.0,1.8,3.0,0,0,0,0,0,29,1,0.5,0,0,1,0,30,0.033,0,0
252.0,63,63.0,1.537,4.0,0,1,1,0,0,35,6,0.143,1,0,1,1,41,0.146,0,0
270.0,90,90.0,2.25,3.0,0,0,0,0,1,38,2,0.333,0,0,1,0,40,0.05,0,1
245.0,49,49.0,1.441,5.0,0,0,1,0,1,29,5,0.167,1,0,1,0,34,0.147,0,0
184.0,46,46.0,1.484,4.0,0,0,0,0,1,29,2,0.333,0,0,1,0,31,0.065,0,0
430.0,86,86.0,3.185,5.0,0,0,1,0,0,25,2,0.333,1,0,1,0,27,0.074,0,1
216.0,72,18.0,2.4,3.0,0,1,1,0,0,28,2,1.333,0,0,4,0,30,0.067,1,0
288.0,72,72.0,2.667,4.0,0,0,0,0,0,23,4,0.2,0,0,1,0,27,0.148,1,1
328.0,82,20.5,2.278,4.0,0,0,1,0,0,29,7,0.5,0,0,4,0,36,0.194,0,0
308.0,77,77.0,2.2,4.0,0,1,1,0,0,29,6,0.143,1,0,1,0,35,0.171,0,0
255.0,51,51.0,1.5,5.0,0,0,1,0,1,27,7,0.125,0,1,1,0,34,0.206,0,1
460.0,92,92.0,2.486,5.0,92,1,1,1,0,34,3,0.25,0,1,1,0,37,0.081,1,1
174.0,58,58.0,2.148,3.0,0,1,0,0,0,26,1,0.5,0,0,1,1,27,0.037,0,0
213.0,71,35.5,1.511,3.0,0,1,1,0,0,42,5,0.333,1,1,2,0,47,0.106,1,0
249.0,83,83.0,2.964,3.0,0,0,1,0,0,27,1,0.5,0,0,1,0,28,0.036,0,0
340.0,68,68.0,1.7,5.0,0,0,0,0,0,35,5,0.167,0,1,1,0,40,0.125,1,0
150.0,50,50.0,1.667,3.0,0,0,0,0,1,29,1,0.5,0,0,1,0,30,0.033,0,0
305.0,61,61.0,1.605,5.0,0,0,1,0,0,29,9,0.1,0,1,1,1,38,0.237,0,0
141.0,47,47.0,1.567,3.0,0,0,1,0,1,28,2,0.333,0,0,1,0,30,0.067,0,0
230.0,46,46.0,1.643,5.0,0,1,0,0,1,25,3,0.25,0,0,1,0,28,0.107,0,0
335.0,67,33.5,2.393,5.0,0,1,1,0,0,24,4,0.4,0,0,2,0,28,0.143,1,0
232.0,58,58.0,1.657,4.0,0,1,1,0,0,28,7,0.125,0,0,1,1,35,0.2,0,0
267.0,89,89.0,2.781,3.0,0,0,1,0,0,24,8,0.111,0,0,1,0,32,0.25,0,1
250.0,50,50.0,1.389,5.0,0,1,1,0,1,28,8,0.111,0,1,1,0,36,0.222,0,0
168.0,56,56.0,2.333,3.0,0,1,1,0,0,23,1,0.5,0,0,1,1,24,0.042,0,0
234.0,78,78.0,2.889,3.0,0,0,1,0,0,23,4,0.2,0,0,1,0,27,0.148,0,0
168.0,56,28.0,1.647,3.0,0,0,1,0,0,27,7,0.25,0,1,2,0,34,0.206,0,0
312.0,78,78.0,2.516,4.0,78,0,0,1,0,27,4,0.2,0,0,1,0,31,0.129,0,0
308.0,77,77.0,2.567,4.0,0,1,0,0,0,28,2,0.333,0,0,1,0,30,0.067,0,0
228.0,76,38.0,2.533,3.0,76,0,0,1,0,23,7,0.25,0,0,2,0,30,0.233,0,0
168.0,56,56.0,1.806,3.0,0,1,1,0,0,30,1,0.5,0,0,1,0,31,0.032,0,0
420.0,84,84.0,2.8,5.0,0,0,1,0,0,27,3,0.25,0,0,1,0,30,0.1,0,0
171.0,57,57.0,2.036,3.0,0,1,1,0,0,26,2,0.333,0,0,1,0,28,0.071,0,0
243.0,81,40.5,2.893,3.0,0,0,1,0,0,23,5,0.333,1,0,2,0,28,0.179,0,0
153.0,51,51.0,1.759,3.0,0,0,1,0,1,27,2,0.333,0,0,1,0,29,0.069,0,0
153.0,51,51.0,1.109,3.0,0,1,1,0,1,35,11,0.083,0,1,1,0,46,0.239,0,0
400.0,80,80.0,2.581,5.0,0,1,1,0,0,27,4,0.2,0,0,1,0,31,0.129,0,0
72.0,72,72.0,2.571,1.0,0,1,1,0,0,24,4,0.2,0,0,1,0,28,0.143,1,0
200.0,50,50.0,1.613,4.0,0,0,1,0,1,25,6,0.143,0,1,1,0,31,0.194,0,0
144.0,48,48.0,1.297,3.0,0,0,0,0,0,28,9,0.1,0,1,1,0,37,0.243,0,0
440.0,88,44.0,2.588,5.0,0,0,0,0,0,26,8,0.222,0,0,2,0,34,0.235,0,1
350.0,70,70.0,2.8,5.0,0,1,1,0,0,22,3,0.25,1,0,1,0,25,0.12,1,1
228.0,57,57.0,1.425,4.0,0,1,1,0,0,36,4,0.2,0,1,1,1,40,0.1,0,0
168.0,56,56.0,1.302,3.0,0,0,1,0,0,36,7,0.125,0,1,1,1,43,0.163,0,1
56.0,56,56.0,1.556,1.0,0,0,1,0,0,31,5,0.167,0,0,1,1,36,0.139,0,0
189.0,63,63.0,2.172,3.0,0,1,1,0,0,26,3,0.25,0,0,1,0,29,0.103,0,0
168.0,56,28.0,1.6,3.0,0,1,1,0,0,33,2,0.667,0,0,2,0,35,0.057,0,0
420.0,84,84.0,2.471,5.0,0,0,1,0,0,32,2,0.333,0,1,1,0,34,0.059,0,0
180.0,45,45.0,1.406,4.0,0,1,0,0,1,28,4,0.2,0,0,1,0,32,0.125,0,0
150.0,50,50.0,1.852,3.0,0,0,1,0,0,26,1,0.5,0,0,1,0,27,0.037,0,0
225.0,75,75.0,2.586,3.0,0,1,1,0,0,24,5,0.167,0,0,1,0,29,0.172,0,0
48.0,48,48.0,1.412,1.0,0,1,1,0,1,30,4,0.2,0,0,1,0,34,0.118,0,0
350.0,70,70.0,1.892,5.0,0,1,1,0,0,30,7,0.125,1,1,1,0,37,0.189,1,0
219.0,73,73.0,2.212,3.0,0,0,0,0,0,30,3,0.25,0,0,1,0,33,0.091,1,0
335.0,67,67.0,2.03,5.0,0,0,0,0,0,29,4,0.2,1,1,1,0,33,0.121,1,0
45.0,45,45.0,1.154,1.0,0,0,0,0,1,31,8,0.111,0,0,1,0,39,0.205,0,0
328.0,82,82.0,2.412,4.0,0,0,1,0,0,27,7,0.125,0,1,1,0,34,0.206,0,0
336.0,84,42.0,2.625,4.0,0,0,1,0,0,26,6,0.286,0,0,2,0,32,0.188,0,0
212.0,53,53.0,1.559,4.0,0,0,1,0,1,28,6,0.143,0,1,1,0,34,0.176,0,0
305.0,61,61.0,2.103,5.0,0,0,1,0,0,23,6,0.143,0,0,1,0,29,0.207,0,0
50.0,50,25.0,1.786,1.0,0,1,1,0,1,26,2,0.667,1,0,2,0,28,0.071,0,0
150.0,75,75.0,2.679,2.0,0,0,0,0,0,23,5,0.167,0,0,1,0,28,0.179,0,0
210.0,70,35.0,2.0,3.0,0,0,0,0,0,26,9,0.2,1,1,2,0,35,0.257,1,0
258.0,86,43.0,2.15,3.0,0,0,0,0,0,37,3,0.5,1,0,2,0,40,0.075,0,0
108.0,54,27.0,2.0,2.0,0,0,0,0,1,23,4,0.4,1,0,2,0,27,0.148,0,0
210.0,70,23.333,2.692,3.0,0,0,0,0,0,23,3,0.75,0,0,3,0,26,0.115,1,0
114.0,57,57.0,1.326,2.0,0,1,1,0,0,31,12,0.077,1,0,1,1,43,0.279,0,0
183.0,61,61.0,2.652,3.0,0,0,1,0,0,22,1,0.5,0,0,1,0,23,0.043,0,0
420.0,84,84.0,2.897,5.0,0,1,1,0,0,23,6,0.143,0,0,1,0,29,0.207,0,0
153.0,51,51.0,1.186,3.0,0,1,1,0,1,28,15,0.062,0,0,1,0,43,0.349,0,0
196.0,49,16.333,1.815,4.0,0,1,1,0,1,23,4,0.6,1,0,3,0,27,0.148,0,0
280.0,70,70.0,2.692,4.0,0,1,1,0,0,22,4,0.2,0,0,1,0,26,0.154,1,0
360.0,72,72.0,2.323,5.0,0,0,0,0,0,26,5,0.167,0,0,1,0,31,0.161,1,0
232.0,58,58.0,1.45,4.0,0,0,1,0,0,29,11,0.083,0,0,1,1,40,0.275,0,0
275.0,55,27.5,1.41,5.0,0,0,0,0,0,27,12,0.154,0,0,2,1,39,0.308,0,0
171.0,57,28.5,1.9,3.0,0,0,0,0,0,24,6,0.286,1,0,2,1,30,0.2,0,0
308.0,77,77.0,1.638,4.0,0,0,1,0,0,43,4,0.2,1,1,1,0,47,0.085,0,0
192.0,48,48.0,1.412,4.0,0,0,1,0,1,27,7,0.125,0,0,1,0,34,0.206,0,1
256.0,64,64.0,1.939,4.0,0,0,0,0,0,24,9,0.1,1,0,1,1,33,0.273,0,0
255.0,51,51.0,1.244,5.0,0,0,1,0,1,34,7,0.125,0,1,1,0,41,0.171,0,0
80.0,80,80.0,2.759,1.0,0,0,1,0,0,25,4,0.2,0,0,1,0,29,0.138,0,0
258.0,86,86.0,2.688,3.0,0,0,0,0,0,28,4,0.2,0,0,1,0,32,0.125,0,0
340.0,68,68.0,1.447,5.0,0,0,0,0,0,38,9,0.1,0,1,1,0,47,0.191,1,0
260.0,65,65.0,1.857,4.0,0,0,1,0,0,32,3,0.25,0,0,1,1,35,0.086,0,0
300.0,75,75.0,2.778,4.0,0,0,1,0,0,25,2,0.333,0,0,1,0,27,0.074,0,0
81.0,81,81.0,2.793,1.0,0,0,1,0,0,26,3,0.25,0,0,1,0,29,0.103,0,0
147.0,49,24.5,1.361,3.0,0,1,1,0,1,27,9,0.2,0,0,2,0,36,0.25,0,0
39.0,39,19.5,1.114,1.0,0,0,1,0,1,27,8,0.222,0,0,2,0,35,0.229,0,0
210.0,70,35.0,2.059,3.0,0,1,0,0,0,32,2,0.667,1,0,2,0,34,0.059,1,0
376.0,94,94.0,2.765,4.0,94,1,0,1,1,29,5,0.167,0,1,1,0,34,0.147,0,1
180.0,60,60.0,1.538,3.0,0,1,1,0,0,37,2,0.333,1,1,1,1,39,0.051,0,0
255.0,51,51.0,1.962,5.0,0,0,1,0,1,24,2,0.333,0,0,1,0,26,0.077,0,0
280.0,56,56.0,1.867,5.0,0,1,0,0,0,26,4,0.2,0,0,1,1,30,0.133,0,0
248.0,62,62.0,2.0,4.0,0,0,0,0,0,29,2,0.333,0,0,1,1,31,0.065,0,0
240.0,48,48.0,1.091,5.0,0,1,1,0,0,38,6,0.143,1,1,1,0,44,0.136,0,0
147.0,49,49.0,1.289,3.0,0,0,1,0,1,34,4,0.2,0,0,1,0,38,0.105,0,0
78.0,78,78.0,1.95,1.0,0,0,1,0,0,37,3,0.25,0,0,1,0,40,0.075,0,0
290.0,58,58.0,1.16,5.0,58,1,1,1,0,44,6,0.143,1,1,1,0,50,0.12,0,0
210.0,70,70.0,1.591,3.0,0,0,1,0,0,32,12,0.077,0,1,1,0,44,0.273,1,0
69.0,69,69.0,3.0,1.0,0,0,0,0,0,21,2,0.333,1,0,1,0,23,0.087,1,0
53.0,53,53.0,1.472,1.0,0,1,0,0,1,34,2,0.333,0,1,1,0,36,0.056,0,0
80.0,80,80.0,3.2,1.0,0,1,1,0,0,21,4,0.2,0,0,1,0,25,0.16,0,0
290.0,58,58.0,1.706,5.0,0,1,1,0,0,30,4,0.2,0,0,1,1,34,0.118,0,0
255.0,85,85.0,3.036,3.0,0,1,1,0,0,27,1,0.5,0,0,1,0,28,0.036,0,0
405.0,81,40.5,2.7,5.0,0,0,1,0,0,24,6,0.286,0,0,2,0,30,0.2,0,0
67.0,67,67.0,1.914,1.0,0,1,1,0,0,27,8,0.111,0,0,1,0,35,0.229,1,0
344.0,86,86.0,2.606,4.0,0,1,1,0,0,25,8,0.111,0,0,1,0,33,0.242,0,0
240.0,80,80.0,2.667,3.0,0,0,1,0,0,26,4,0.2,0,1,1,0,30,0.133,0,0
425.0,85,42.5,3.148,5.0,0,0,1,0,0,24,3,0.5,0,0,2,0,27,0.111,0,0
204.0,68,17.0,2.345,3.0,0,0,1,0,0,28,1,2.0,1,0,4,0,29,0.034,1,0
174.0,58,58.0,1.349,3.0,0,1,1,0,0,40,3,0.25,1,0,1,1,43,0.07,0,0
258.0,86,43.0,3.071,3.0,0,0,1,0,0,23,5,0.333,0,0,2,0,28,0.179,0,0
340.0,68,68.0,2.194,5.0,0,0,1,0,0,28,3,0.25,0,0,1,0,31,0.097,1,0
232.0,58,58.0,1.349,4.0,0,0,0,0,0,31,12,0.077,1,0,1,1,43,0.279,0,0
300.0,60,60.0,1.714,5.0,0,0,0,0,0,26,9,0.1,0,0,1,1,35,0.257,0,0
147.0,49,24.5,1.4,3.0,0,0,1,0,1,26,9,0.2,0,0,2,0,35,0.257,0,0
177.0,59,59.0,1.18,3.0,0,0,1,0,0,42,8,0.111,1,1,1,1,50,0.16,0,0
200.0,50,50.0,1.923,4.0,0,0,0,0,0,23,3,0.25,0,0,1,0,26,0.115,0,0
156.0,52,52.0,1.625,3.0,0,1,1,0,1,27,5,0.167,0,0,1,0,32,0.156,0,0
465.0,93,93.0,2.447,5.0,93,0,0,1,0,36,2,0.333,0,1,1,1,38,0.053,0,1
204.0,51,51.0,2.318,4.0,0,0,1,0,1,20,2,0.333,0,0,1,0,22,0.091,0,0
156.0,52,52.0,1.857,3.0,0,0,1,0,0,27,1,0.5,0,0,1,0,28,0.036,0,0
207.0,69,69.0,1.865,3.0,0,1,0,0,0,28,9,0.1,0,0,1,0,37,0.243,1,0
258.0,86,43.0,1.593,3.0,0,1,1,0,0,45,9,0.2,1,0,2,0,54,0.167,0,0
153.0,51,51.0,1.417,3.0,0,1,1,0,1,28,8,0.111,0,0,1,0,36,0.222,0,0
234.0,78,78.0,2.229,3.0,0,0,1,0,0,27,8,0.111,0,0,1,0,35,0.229,0,0
255.0,85,85.0,2.179,3.0,0,0,1,0,0,35,4,0.2,0,0,1,0,39,0.103,0,0
315.0,63,63.0,2.032,5.0,0,1,0,0,0,27,4,0.2,0,0,1,1,31,0.129,0,0
180.0,60,30.0,1.579,3.0,60,0,1,1,0,31,7,0.25,0,0,2,1,38,0.184,0,0
48.0,48,48.0,1.714,1.0,0,1,1,0,1,26,2,0.333,0,0,1,0,28,0.071,0,0
104.0,52,17.333,2.0,2.0,0,1,1,0,1,23,3,0.75,0,0,3,0,26,0.115,0,0
162.0,54,54.0,1.862,3.0,0,1,1,0,1,28,1,0.5,0,0,1,0,29,0.034,0,0
252.0,84,84.0,2.8,3.0,0,1,1,0,0,26,4,0.2,0,0,1,0,30,0.133,0,0
114.0,57,28.5,1.541,2.0,0,1,1,0,0,33,4,0.4,0,0,2,1,37,0.108,0,1
228.0,76,76.0,3.04,3.0,0,0,1,0,0,24,1,0.5,1,0,1,0,25,0.04,0,0
328.0,82,82.0,3.154,4.0,0,0,1,0,0,24,2,0.333,0,0,1,0,26,0.077,0,0
312.0,78,78.0,2.516,4.0,0,0,1,0,0,27,4,0.2,0,0,1,0,31,0.129,0,0
410.0,82,82.0,2.158,5.0,0,0,0,0,0,31,7,0.125,0,0,1,0,38,0.184,0,0
196.0,49,49.0,1.256,4.0,0,0,1,0,1,30,9,0.1,0,0,1,0,39,0.231,0,0
250.0,50,50.0,1.667,5.0,50,0,1,1,1,26,4,0.2,0,0,1,0,30,0.133,0,0
335.0,67,67.0,1.971,5.0,0,0,0,0,0,26,8,0.111,0,1,1,0,34,0.235,1,0
216.0,72,72.0,2.182,3.0,0,0,0,0,0,28,5,0.167,0,1,1,0,33,0.152,1,0
390.0,78,78.0,2.69,5.0,0,0,0,0,0,26,3,0.25,1,0,1,0,29,0.103,0,0
